City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,thompson,55.7435,-97.8558,-23.50999999999999,98,100,2.86,CA,1705755942
102,wailua homesteads,22.0669,-159.378,23.089999999999975,84,75,5.66,US,1705755944
103,colac,-38.3333,143.5833,16.970000000000027,74,5,3.38,AU,1705755944
104,sisimiut,66.9395,-53.6735,-16.480000000000018,93,99,3.33,GL,1705755945
105,vorgashor,67.5833,63.95,-13.70999999999998,90,96,6.15,RU,1705755945
106,alofi,-19.0595,-169.9187,25.589999999999975,94,100,2.57,NU,1705755946
107,hadibu,12.65,54.0333,25.19999999999999,67,16,7.51,YE,1705755946
108,staufen,47.75,8.2167,-0.37000000000000455,83,0,2.7,DE,1705755947
109,susuman,62.7833,148.1667,-38.69,100,99,0.45,RU,1705755948
110,port lincoln,-34.7333,135.8667,16.30000000000001,78,0,7.45,AU,1705755948
111,georgetown,5.4112,100.3354,28.620000000000005,74,20,1.54,MY,1705755949
112,constantia,44.1833,28.65,0.040000000000020464,75,100,8.45,RO,1705755950
113,tidjikja,18.5564,-11.4271,29.379999999999995,7,98,4.6,MR,1705755950
114,aquiraz,-3.9014,-38.3911,30.69999999999999,60,97,4.98,BR,1705755875
115,smithers,54.7804,-127.1743,-11.170000000000016,85,100,2.06,CA,1705755934
116,bilibino,68.0546,166.4372,-20.349999999999994,100,95,1.29,RU,1705755952
117,devin,41.7433,24.4,-0.25,93,100,3.01,BG,1705755953
118,val-des-monts,45.6501,-75.666,-15.569999999999993,78,100,3.6,CA,1705755912
119,tazovsky,67.4667,78.7,-11.160000000000025,91,100,8.27,RU,1705755954
120,porto novo,6.4965,2.6036,32.55000000000001,33,0,3.53,BJ,1705755955
121,amos,48.5669,-78.1162,-17.29000000000002,93,100,3.72,CA,1705755704
122,jamestown,42.097,-79.2353,-9.579999999999984,89,100,2.06,US,1705755776
123,filipstad,59.7124,14.1683,-10.800000000000011,94,77,0.67,SE,1705755956
124,zhangye,38.9342,100.4517,-9.259999999999991,59,43,2.85,CN,1705755957
125,qui nhon,13.7667,109.2333,21.899999999999977,79,100,3.52,VN,1705755957
126,geraldton,-28.7667,114.6,22.879999999999995,83,100,5.66,AU,1705755958
127,nueva imperial,-38.7333,-72.95,14.009999999999991,51,0,2.17,CL,1705755709
128,hengchun,22.0042,120.7439,23.069999999999993,79,16,1.25,TW,1705755959
129,codrington,-38.2667,141.9667,14.949999999999989,96,12,3.65,AU,1705755959
130,kentau,43.5206,68.5094,-3.5,46,0,3.22,KZ,1705755960
131,ixtapa,20.7,-105.2,18.660000000000025,82,34,0.98,MX,1705755961
132,burela de cabo,43.65,-7.4,9.25,55,10,1.39,ES,1705755961
133,kalyazin,57.2403,37.8433,-14.410000000000025,98,95,2.06,RU,1705755962
134,mejit,10.2753,170.8646,26.24000000000001,81,100,9.12,MH,1705755962
135,gadzhiyevo,69.2551,33.3362,-7.6200000000000045,83,81,10.6,RU,1705755963
136,usogorsk,63.4106,48.6872,-11.089999999999975,87,100,3.44,RU,1705755964
137,tekari,24.9333,84.8333,14.769999999999982,43,0,2.25,IN,1705755965
138,alaghsas,17.0187,8.0168,30.589999999999975,7,0,8.23,NE,1705755965
139,penzance,50.1186,-5.5371,9.029999999999973,74,100,13.03,GB,1705755727
140,altamira,-3.2033,-52.2064,27.69999999999999,83,75,2.57,BR,1705755766
141,kodiak,57.79,-152.4072,2.3799999999999955,75,100,5.14,US,1705755885
142,igarka,67.4667,86.5833,-15.220000000000027,94,100,12.15,RU,1705755967
143,banda aceh,5.5577,95.3222,26.649999999999977,81,82,5.06,ID,1705755968
144,atafu village,-8.5421,-172.5159,28.879999999999995,74,100,4.92,TK,1705755969
145,nova sintra,14.8667,-24.7167,20.420000000000016,67,25,8.31,CV,1705755970
146,pabrade,55.0,25.7833,-3.5400000000000205,95,100,4.14,LT,1705755970
147,kunnattur,12.35,78.5167,25.600000000000023,57,96,3.19,IN,1705755971
148,severo-yeniseyskiy,60.3725,93.0408,-22.25,99,25,1.79,RU,1705755972
149,port alfred,-33.5906,26.891,27.170000000000016,61,0,13.15,ZA,1705755972
150,jolo,6.05,121.0167,25.089999999999975,88,99,2.93,PH,1705755973
151,new norfolk,-42.7826,147.0587,15.370000000000005,97,55,0.58,AU,1705755974
152,madalena,41.2162,-8.3345,10.970000000000027,53,0,0.85,PT,1705755974
153,fontanka,46.5626,30.8607,0.7799999999999727,73,100,7.34,UA,1705755975
154,utrik,11.2278,169.8474,25.689999999999998,81,100,9.94,MH,1705755975
155,ad darb,17.7229,42.2526,28.529999999999973,54,37,4.57,SA,1705755976
156,ilulissat,69.2167,-51.1,-13.339999999999975,78,100,8.75,GL,1705755977
157,puerto rosario,-24.45,-57.0833,30.420000000000016,65,86,0.59,PY,1705755977
158,mount isa,-20.7333,139.5,25.519999999999982,89,100,3.6,AU,1705755978
159,tura,25.5198,90.2201,13.639999999999986,65,0,0.68,IN,1705755978
160,badger,64.8,-147.5333,-23.210000000000008,71,0,0.0,US,1705755979
161,aasiaat,68.7098,-52.8699,-14.699999999999989,77,100,8.61,GL,1705755979
162,masterton,-40.9597,175.6575,20.819999999999993,94,100,1.64,NZ,1705755980
163,coquimbo,-29.9533,-71.3436,15.5,94,100,2.06,CL,1705755981
164,kanoya,31.3833,130.85,15.189999999999998,92,100,0.73,JP,1705755982
165,boende,-0.2167,20.8667,39.01999999999998,16,85,1.67,CD,1705755982
166,ciudad lazaro cardenas,17.9583,-102.2,24.769999999999982,63,100,1.91,MX,1705755983
167,estacion santa engracia,24.0159,-99.2015,10.70999999999998,55,98,4.02,MX,1705755984
168,ugoofaaru,5.6667,73.0,27.55000000000001,77,31,5.12,MV,1705755984
169,springs,-26.25,28.4,27.80000000000001,46,5,3.27,ZA,1705755985
170,sa kaeo,13.75,102.3333,27.75,34,3,1.06,TH,1705755986
171,ust-nera,64.5667,143.2,-41.389999999999986,99,89,0.22,RU,1705755986
172,newberry,34.2746,-81.6187,-3.6899999999999977,67,7,2.27,US,1705755987
173,labrador city,52.9463,-66.9114,-14.399999999999977,85,100,5.14,CA,1705755987
174,kijang,35.2442,129.2139,5.5,91,100,9.52,KR,1705755988
175,howrah,22.5892,88.3103,17.649999999999977,72,100,2.06,IN,1705755989
176,erenhot,43.6475,111.9767,-20.810000000000002,93,61,3.82,CN,1705755989
177,crane,31.3974,-102.3501,-4.350000000000023,38,92,4.73,US,1705755990
178,sale,34.0389,-6.8166,18.029999999999973,48,75,1.54,MA,1705755990
179,baiti,13.745,-14.7482,30.579999999999984,26,100,3.04,SN,1705755991
180,marquette,46.5333,-87.6335,-9.610000000000014,89,100,4.02,US,1705755991
181,colon,9.3592,-79.9014,25.160000000000025,81,20,8.94,PA,1705755992
182,as sulayyil,20.4607,45.5779,23.79000000000002,23,37,5.5,SA,1705755743
183,kasempa,-13.4584,25.8338,23.120000000000005,70,59,3.87,ZM,1705755993
184,stanley,54.868,-1.6985,6.189999999999998,84,40,8.75,GB,1705755994
185,inari,68.906,27.0288,-20.24000000000001,85,6,2.71,FI,1705755994
186,mersa matruh,31.3525,27.2453,25.75999999999999,10,0,6.17,EG,1705755995
187,enewetak,11.3474,162.3373,26.019999999999982,72,89,9.84,MH,1705755996
188,san nicolas,18.1725,120.5953,24.600000000000023,88,75,0.51,PH,1705755996
189,ghazni,33.5536,68.4269,2.1299999999999955,40,0,2.14,AF,1705755997
190,ancud,-41.8697,-73.8203,13.629999999999995,53,0,2.26,CL,1705755706
191,kununurra,-15.7667,128.7333,24.639999999999986,94,75,6.17,AU,1705755998
192,khandud,36.9513,72.318,-8.480000000000018,65,2,1.14,AF,1705755999
193,macherla,16.4833,79.4333,25.560000000000002,53,99,4.47,IN,1705756000
194,kirakira,-10.4544,161.9205,26.569999999999993,87,100,2.51,SB,1705756000
195,huangmei,30.1924,116.025,4.360000000000014,86,100,0.82,CN,1705756001
196,kristiansund,63.1115,7.732,-3.990000000000009,68,0,4.12,NO,1705756002
197,floro,61.5996,5.0328,-0.37000000000000455,80,75,8.75,NO,1705756002
198,portland,45.5234,-122.6762,2.480000000000018,80,100,1.79,US,1705755736
199,ripley,53.0333,-1.4,5.829999999999984,79,100,4.02,GB,1705756003
200,bubaque,11.2833,-15.8333,23.610000000000014,63,99,3.82,GW,1705756004
201,port moresby,-9.4431,147.1797,24.899999999999977,86,100,2.49,PG,1705756005
202,humberto de campos,-2.5983,-43.4611,29.819999999999993,66,79,3.97,BR,1705755905
203,xinyuan,37.3,99.0,-10.639999999999986,19,5,7.0,CN,1705756006
204,fale old settlement,-9.3852,-171.2468,28.80000000000001,71,100,4.81,TK,1705756006
205,ushuaia,-54.8,-68.3,7.439999999999998,91,95,2.74,AR,1705756007
206,carutapera,-1.195,-46.02,28.029999999999973,79,21,3.54,BR,1705756007
207,barah,13.7,30.3667,28.94999999999999,9,6,5.83,SD,1705756008
208,rabaul,-4.1967,152.1721,26.70999999999998,86,100,7.02,PG,1705756008
209,lichtenburg,-26.152,26.1597,27.519999999999982,18,100,0.74,ZA,1705756009
210,abepura,-2.6333,140.5833,24.100000000000023,94,20,1.54,ID,1705756010
211,santiago,-33.4569,-70.6483,28.139999999999986,38,0,3.6,CL,1705755886
212,togur,58.3631,82.8265,-19.710000000000008,99,15,1.79,RU,1705756011
213,kerikeri,-35.2268,173.9474,20.160000000000025,90,100,2.14,NZ,1705756011
214,burgos,42.3394,-3.7079,1.8799999999999955,60,0,3.6,ES,1705756012
215,williams lake,52.1415,-122.1445,-2.589999999999975,93,100,3.09,CA,1705755849
216,opuwo,-18.0607,13.84,33.29000000000002,18,20,1.0,NA,1705756013
217,noosa heads,-26.3833,153.15,26.379999999999995,88,22,2.91,AU,1705755899
218,nuuk,64.1835,-51.7216,-9.009999999999991,67,100,10.29,GL,1705755840
219,san luis,-33.295,-66.3356,26.879999999999995,38,0,1.9,AR,1705756014
220,khandyga,62.6667,135.6,-50.370000000000005,100,76,0.87,RU,1705756015
221,khash,28.2211,61.2158,14.259999999999991,26,9,2.87,IR,1705756016
222,nemuro,43.3236,145.575,-4.6200000000000045,52,99,4.94,JP,1705756016
223,lezoux,45.8269,3.3792,-1.5600000000000023,74,0,2.57,FR,1705756017
224,caleta olivia,-46.4393,-67.5281,19.519999999999982,35,70,3.56,AR,1705756017
225,acajutla,13.5928,-89.8275,25.379999999999995,68,0,2.94,SV,1705756018
226,papatowai,-46.5619,169.4708,12.069999999999993,95,31,1.84,NZ,1705756018
227,talnakh,69.4865,88.3972,-13.009999999999991,87,100,11.58,RU,1705756019
228,sao jose da coroa grande,-8.8978,-35.1478,29.310000000000002,63,83,4.56,BR,1705756019
229,katabu,-4.9333,122.5167,24.019999999999982,92,100,2.58,ID,1705756020
230,lihue,21.9789,-159.3672,23.420000000000016,84,75,5.66,US,1705756021
231,alice springs,-23.7,133.8833,29.399999999999977,59,100,0.89,AU,1705755753
232,caleta de carquin,-11.0925,-77.6267,22.519999999999982,84,95,3.34,PE,1705756022
233,saldanha,-33.0117,17.9442,22.399999999999977,67,18,5.39,ZA,1705756022
234,waingapu,-9.6567,120.2641,26.680000000000007,78,100,5.26,ID,1705756023
235,sao vicente,-23.9631,-46.3919,29.629999999999995,62,20,3.09,BR,1705755773
236,puerto baquerizo moreno,-0.9,-89.6,24.55000000000001,90,65,3.59,EC,1705756024
237,rio grande,-32.035,-52.0986,23.70999999999998,82,99,6.16,BR,1705756025
